id,group,WTAW_Standard
101,1,119
102,1,127
103,1,117
104,1,110
105,1,115
106,1,113
107,1,103
108,1,115
109,1,108
112,1,129
113,1,119
114,1,111
115,1,117
116,1,129
117,1,99
119,1,101
120,1,129
121,1,106
122,1,117
123,1,122
124,1,104
125,1,119
126,1,122
127,1,113
128,1,113
129,1,115
130,1,117
131,1,122
132,1,111
133,1,127
134,1,124
135,1,126
136,1,122
137,1,124
138,1,101
139,1,126
140,1,119
141,1,122
142,1,122
143,1,124
144,1,122
145,1,122
146,1,127
147,1,106
148,1,126
149,1,120
150,1,127
151,1,122
152,1,122
153,1,101
154,1,117
155,1,122
156,1,119
157,1,120
159,1,120
160,1,126
161,1,111
162,1,127
163,1,117
164,1,126
165,1,120
166,1,124
167,1,122
168,1,106
169,1,119
170,1,111
171,1,119
172,1,108
173,1,113
174,1,122
175,1,122
176,1,122
177,1,124
178,1,124
179,1,122
180,1,124
201,2,122
202,2,125
203,2,125
204,2,120
205,2,123
206,2,123
207,2,123
208,2,93
209,2,110
210,2,123
211,2,125
212,2,125
213,2,113
214,2,125
215,2,111
216,2,125
217,2,120
218,2,123
219,2,113
221,2,123
222,2,120
223,2,118
224,2,125
225,2,114
226,2,123
227,2,118
228,2,123
229,2,114
230,2,125
231,2,123
232,2,123
233,2,112
234,2,116
235,2,120
236,2,120
237,2,101
238,2,118
239,2,108
240,2,123
241,2,123
242,2,123
243,2,123
244,2,115
245,2,119
246,2,125
247,2,117
248,2,125
249,2,119
250,2,112
251,2,116
252,2,125
253,2,116
254,2,125
255,2,118
256,2,113
257,2,125
258,2,120
259,2,120
260,2,120
262,2,125
263,2,125
264,2,125
265,2,123
266,2,122
267,2,117
268,2,125
269,2,116
270,2,119
271,2,107
272,2,123
274,2,128
275,2,118
276,2,122
277,2,123
278,2,112
279,2,112
280,2,125
299,2,120
