id,group,norm_kl_i,norm_kl_p
201,2,-0.1170667786248721,-0.4473182927555904
202,2,-0.9228512828208385,0.36049590307129414
203,2,-0.14620018622609895,0.04176970186788835
204,2,0.1548693081354583,0.26197338866207526
205,2,0.3932036156483263,NA
206,2,0.1535646691717842,0.6525060147418348
207,2,NA,1.347349450735228
208,2,4.243023580861344,1.5418420416268919
209,2,-0.15737203934085034,0.017974554278215434
210,2,0.09698656946520744,0.2448181530435159
211,2,0.19356101281768748,-0.8459605140733024
212,2,0.05617962419393689,0.21016257333637106
213,2,-0.10862516651605068,0.15120290687238883
214,2,0.08663900271991203,-0.12438705604503707
215,2,NA,0.4938920249908701
216,2,0.11906268842746576,-0.05265312295009228
217,2,-0.13315045276705084,0.6355426571518068
218,2,0.15804365753297825,0.5272192389758925
219,2,-0.007740995986436786,2.021739347315481
221,2,0.01429266672237049,-0.20022874794559578
222,2,0.23272914931948405,0.44146227004689337
223,2,0.631370920403755,0.6284467561449513
224,2,0.13447490235798618,-9.708347334103845e-4
225,2,0.3028617455098512,0.5024341439100682
226,2,1.3444811857290362,NA
227,2,0.668188150141685,0.471341911608167
228,2,-2.1057569387496486,0.04565629315235882
229,2,2.1394013502895564,0.2149747346600178
230,2,0.08662505053074285,0.2450664531371002
231,2,0.2644667582950366,-0.2858733748121415
232,2,0.7531564662889065,-0.009822834326671182
233,2,0.31855356003457436,0.4412093449827805
234,2,0.548690290991568,-0.0749358061830991
235,2,-0.1516296666606875,0.37782785397073243
236,2,NA,1.3326074146058742
237,2,-0.022924286448289217,0.0423852685460712
238,2,-0.9014483030036684,0.03964873235441373
239,2,NA,0.36988211650871083
240,2,2.4923405144860844,-0.1693237878343172
241,2,0.28775891717927227,-0.02684169871372236
242,2,0.1885114545751603,0.7622322844730417
243,2,0.849288243686059,NA
244,2,0.18329711456760114,-0.04948413830638135
245,2,0.511628806307324,0.0751890609367632
246,2,0.3054153158454505,-0.12781585464021528
247,2,-0.08665934879436978,0.3163994746251856
248,2,2.699573975969957,NA
249,2,1.851747962680085,NA
250,2,0.3221511437666548,-0.15044979761487323
251,2,0.10266809173650152,0.6744032819653433
252,2,0.13830347193665582,0.34822622341745935
253,2,-0.07959582181528192,0.00896239156156302
254,2,0.12338279504800652,0.3332890226350151
255,2,0.3368039306033771,0.10353705273870625
256,2,1.7261306208559992,NA
257,2,0.28892735567369127,1.5765492367567948
258,2,0.02432291243334094,NA
259,2,0.07025750499440966,1.83127031037268
260,2,0.3823501418681319,0.6672963916495732
262,2,0.25739378726680706,1.175727378342294
263,2,0.6300406217260327,-0.5098020171319922
264,2,0.2873420136088629,2.5860856420173888
265,2,2.5450235060766806,0.5575130706189534
266,2,0.04149444058190829,NA
267,2,-0.10515025520223756,0.2952702925885728
268,2,0.30989646135754095,0.7259921747795794
269,2,2.707025749021492,2.1193352342888496
270,2,0.8957341448658919,0.4967438424240181
271,2,-0.5567330701104141,0.59859202784655
272,2,0.0720282283524834,NA
274,2,1.4301437939366652,-0.5049022805760998
275,2,0.12592489567269446,NA
276,2,0.09241406811003208,0.48127044382431416
277,2,-0.27585075368605855,0.5357506963484756
278,2,-0.053484022905741356,0.048003732950382565
279,2,-0.08656757649371126,0.5992715803407714
280,2,-0.1574828498812483,0.4897543576814851
299,2,0.05036327540391581,-0.006254380399148612
