id,diff_prop_ll_i,diff_prop_ll_p
201,3.999999999999993,-3.999999999999993
202,-7.999999999999993,9.999999999999993
203,-6,-2
204,12.000000000000007,-2.000000000000007
205,14,NA
206,-2,8.000000000000007
207,NA,20
208,18,24
209,-0,-4.000000000000007
210,8,-6
211,2,-4
212,8,-6
213,-6,8
214,14,-20
215,NA,6
216,2,-10
217,-2.000000000000007,6
218,6.000000000000007,1.9999999999999858
219,-22,22
221,-4,0
222,2.000000000000007,6
223,5.999999999999993,-3.999999999999993
224,2,-4
225,10,4.000000000000007
226,4,NA
227,2,6
228,-26,6
229,18,4
230,2.000000000000007,5.999999999999993
231,18,-4
232,10,-7.999999999999993
233,-0,8.000000000000007
234,3.999999999999993,-5.999999999999993
235,-1.9999999999999858,5.999999999999993
236,NA,8
237,10,-10
238,-12,6
239,NA,16
240,21.999999999999993,-20.000000000000007
241,8,-8
242,4,8
243,10,NA
244,-4,-4
245,4,3.999999999999993
246,9.999999999999993,-4
247,-6,8.000000000000007
248,12,NA
249,36.00000000000001,NA
250,4,16
251,-0,2
252,10,-12
253,-3.999999999999993,2.000000000000007
254,-0,-2
255,-0,4
256,32,NA
257,18,2
258,-0,NA
259,-2,10
260,-0,10
262,2,6
263,2,0
264,4,4
265,10,10
266,-0,NA
267,-9.999999999999993,8.000000000000007
268,-2,0
269,7.999999999999993,18
270,2,6
271,-2,15.999999999999993
272,14,NA
274,14,-3.999999999999993
275,10,NA
276,16,-4
277,4,-6
278,-2,0
279,-4,4
280,6,2
299,-0,-4
