id,other_pref,diff_prop_ll,group,condition
101,p,4,1,1:p
102,p,2,1,1:p
103,p,NA,1,1:p
104,p,-10,1,1:p
105,p,8,1,1:p
106,p,0,1,1:p
107,p,6.000000000000007,1,1:p
108,p,2,1,1:p
109,p,NA,1,1:p
112,p,2,1,1:p
113,p,7.999999999999993,1,1:p
114,p,0,1,1:p
115,p,0,1,1:p
116,p,NA,1,1:p
117,p,10.000000000000007,1,1:p
119,p,2,1,1:p
120,p,12,1,1:p
121,p,18,1,1:p
122,p,0,1,1:p
123,p,7.999999999999993,1,1:p
124,p,-4,1,1:p
125,p,4,1,1:p
126,p,12,1,1:p
127,p,12,1,1:p
128,p,-2,1,1:p
129,p,-2,1,1:p
130,p,-8,1,1:p
131,p,2,1,1:p
132,p,16.000000000000007,1,1:p
133,p,6,1,1:p
134,p,12,1,1:p
135,p,-6,1,1:p
136,p,2,1,1:p
137,p,12,1,1:p
138,p,NA,1,1:p
139,p,-2.0000000000000018,1,1:p
140,p,10,1,1:p
141,p,-6.000000000000007,1,1:p
142,p,4,1,1:p
143,p,10,1,1:p
144,p,2,1,1:p
145,p,-10,1,1:p
146,p,0,1,1:p
147,p,20.000000000000007,1,1:p
148,p,12.000000000000007,1,1:p
149,p,6,1,1:p
150,p,0,1,1:p
151,p,20,1,1:p
152,p,2,1,1:p
153,p,10,1,1:p
154,p,4.000000000000007,1,1:p
155,p,8,1,1:p
156,p,20,1,1:p
157,p,6,1,1:p
159,p,1.9999999999999858,1,1:p
160,p,12,1,1:p
161,p,8,1,1:p
162,p,8,1,1:p
163,p,4,1,1:p
164,p,16,1,1:p
165,p,7.999999999999993,1,1:p
166,p,18,1,1:p
167,p,2,1,1:p
168,p,48,1,1:p
169,p,-4,1,1:p
170,p,-8,1,1:p
171,p,22,1,1:p
172,p,-3.999999999999993,1,1:p
173,p,6,1,1:p
174,p,-2,1,1:p
175,p,-8,1,1:p
176,p,6,1,1:p
177,p,10,1,1:p
178,p,-6,1,1:p
179,p,7.999999999999993,1,1:p
180,p,-6,1,1:p
201,p,-3.999999999999993,2,2:p
202,p,9.999999999999993,2,2:p
203,p,-2,2,2:p
204,p,-2.000000000000007,2,2:p
205,p,NA,2,2:p
206,p,8.000000000000007,2,2:p
207,p,20,2,2:p
208,p,24,2,2:p
209,p,-4.000000000000007,2,2:p
210,p,-6,2,2:p
211,p,-4,2,2:p
212,p,-6,2,2:p
213,p,8,2,2:p
214,p,-20,2,2:p
215,p,6,2,2:p
216,p,-10,2,2:p
217,p,6,2,2:p
218,p,1.9999999999999858,2,2:p
219,p,22,2,2:p
221,p,0,2,2:p
222,p,6,2,2:p
223,p,-3.999999999999993,2,2:p
224,p,-4,2,2:p
225,p,4.000000000000007,2,2:p
226,p,NA,2,2:p
227,p,6,2,2:p
228,p,6,2,2:p
229,p,4,2,2:p
230,p,5.999999999999993,2,2:p
231,p,-4,2,2:p
232,p,-7.999999999999993,2,2:p
233,p,8.000000000000007,2,2:p
234,p,-5.999999999999993,2,2:p
235,p,5.999999999999993,2,2:p
236,p,8,2,2:p
237,p,-10,2,2:p
238,p,6,2,2:p
239,p,16,2,2:p
240,p,-20.000000000000007,2,2:p
241,p,-8,2,2:p
242,p,8,2,2:p
243,p,NA,2,2:p
244,p,-4,2,2:p
245,p,3.999999999999993,2,2:p
246,p,-4,2,2:p
247,p,8.000000000000007,2,2:p
248,p,NA,2,2:p
249,p,NA,2,2:p
250,p,16,2,2:p
251,p,2,2,2:p
252,p,-12,2,2:p
253,p,2.000000000000007,2,2:p
254,p,-2,2,2:p
255,p,4,2,2:p
256,p,NA,2,2:p
257,p,2,2,2:p
258,p,NA,2,2:p
259,p,10,2,2:p
260,p,10,2,2:p
262,p,6,2,2:p
263,p,0,2,2:p
264,p,4,2,2:p
265,p,10,2,2:p
266,p,NA,2,2:p
267,p,8.000000000000007,2,2:p
268,p,0,2,2:p
269,p,18,2,2:p
270,p,6,2,2:p
271,p,15.999999999999993,2,2:p
272,p,NA,2,2:p
274,p,-3.999999999999993,2,2:p
275,p,NA,2,2:p
276,p,-4,2,2:p
277,p,-6,2,2:p
278,p,0,2,2:p
279,p,4,2,2:p
280,p,2,2,2:p
299,p,-4,2,2:p
