id,group,Education_years
101,1,17
102,1,13
103,1,16
104,1,17
105,1,16
106,1,NA
107,1,16
108,1,16
109,1,16
112,1,16
113,1,13
114,1,13
115,1,13
116,1,16
117,1,13
119,1,16
120,1,13
121,1,16
122,1,16
123,1,16
124,1,16
125,1,13
126,1,13
127,1,17
128,1,16
129,1,17
130,1,17
131,1,13
132,1,17
133,1,13
134,1,13
135,1,16
136,1,16
137,1,13
138,1,17
139,1,16
140,1,16
141,1,13
142,1,16
143,1,16
144,1,13
145,1,13
146,1,13
147,1,16
148,1,16
149,1,16
150,1,17
151,1,13
152,1,17
153,1,13
154,1,13
155,1,13
156,1,13
157,1,16
159,1,13
160,1,13
161,1,17
162,1,13
163,1,13
164,1,16
165,1,13
166,1,13
167,1,13
168,1,13
169,1,13
170,1,17
171,1,13
172,1,17
173,1,13
174,1,13
175,1,13
176,1,17
177,1,13
178,1,16
179,1,16
180,1,17
201,2,17
202,2,16
203,2,16
204,2,16
205,2,11
206,2,16
207,2,16
208,2,11
209,2,11
210,2,16
211,2,17
212,2,16
213,2,11
214,2,13
215,2,16
216,2,16
217,2,17
218,2,17
219,2,16
221,2,16
222,2,16
223,2,20
224,2,16
225,2,11
226,2,17
227,2,11
228,2,16
229,2,11
230,2,16
231,2,17
232,2,17
233,2,13
234,2,11
235,2,16
236,2,16
237,2,11
238,2,16
239,2,17
240,2,16
241,2,16
242,2,17
243,2,16
244,2,13
245,2,11
246,2,20
247,2,17
248,2,20
249,2,16
250,2,6
251,2,13
252,2,17
253,2,20
254,2,16
255,2,16
256,2,16
257,2,11
258,2,13
259,2,16
260,2,16
262,2,16
263,2,17
264,2,11
265,2,17
266,2,NA
267,2,17
268,2,16
269,2,13
270,2,16
271,2,11
272,2,16
274,2,16
275,2,16
276,2,17
277,2,16
278,2,17
279,2,11
280,2,16
299,2,11
