id,group,self_1_km
101,1,-3.2309156194144624
102,1,-4.703907818194412
103,1,-8.115129207166166
104,1,-4.876178804069776
105,1,-4.23312678529372
106,1,-7.584722940673151
107,1,-4.4681528477625605
108,1,-4.140872077757271
109,1,-9.868682621521657
112,1,-2.9610030935060005
113,1,-3.577901039199319
114,1,-5.990265151094235
115,1,-3.444019910926108
116,1,-8.535370213511937
117,1,-2.527889760350102
119,1,-2.9291673249204906
120,1,-7.164135740699879
121,1,-4.39497769540722
122,1,-4.364552539151865
123,1,-4.949771167963813
124,1,-2.201627454883645
125,1,-6.718023066408085
126,1,-4.049386178681408
127,1,-3.7031559948906914
128,1,-4.501216292715041
129,1,-4.888869909682752
130,1,-4.20394713953275
131,1,-2.9389838660547
132,1,-3.5395026296196055
133,1,-2.01609094168325
134,1,-6.116114967487991
135,1,-3.8127458433312262
136,1,-5.957630498066076
137,1,-5.845252533398878
138,1,-10.984925801427956
139,1,-0.20230043686879548
140,1,-4.269036562010619
141,1,-4.188530060821621
142,1,-7.419736544896739
143,1,-5.589986527125167
144,1,-4.960511365981385
145,1,-5.209426024483921
146,1,-4.293211579552128
147,1,-5.572918971555936
148,1,-4.960871226228651
149,1,-3.4588580041171895
150,1,-3.606984083658305
151,1,-3.4794942441727255
152,1,-7.022775427361513
153,1,-2.8399774728935365
154,1,-5.092341410247664
155,1,-4.753597249465008
156,1,-3.017637285039045
157,1,-4.154932130275484
159,1,-4.321191856757917
160,1,-6.915675270776702
161,1,-7.409325584319501
162,1,-2.4932563346683
163,1,-7.83803874507219
164,1,-6.793370801473527
165,1,-5.175166094013895
166,1,-3.2931313545359915
167,1,-6.676674577363873
168,1,-3.4449145099090246
169,1,-3.6906623289587928
170,1,-3.1212664819741103
171,1,-2.9408245927935512
172,1,-5.2404328919719125
173,1,-5.843532635499549
174,1,-4.399245590480831
175,1,-7.175967543003472
176,1,-5.496544086443686
177,1,-2.4130367040892615
178,1,-4.47484078299176
179,1,-4.030074844450831
180,1,-3.301087028427891
201,2,-5.785996610037824
202,2,-5.563764991046474
203,2,-3.3036524836598335
204,2,-4.967457624117941
205,2,-7.544858636958536
206,2,-4.593370674246227
207,2,-2.738724835900644
208,2,-3.3795201306470974
209,2,-4.688946921275893
210,2,-4.624016663154479
211,2,-5.048402394637698
212,2,-5.076111050552891
213,2,-2.760116610382334
214,2,-4.450048617331455
215,2,-7.339714203090549
216,2,-5.72267792305145
217,2,-4.7061507533870985
218,2,-4.7143156419349
219,2,-7.264931806572751
221,2,-6.414635176359928
222,2,-5.847509416240973
223,2,-4.47933957357132
224,2,-0.7300546685322996
225,2,-3.66680771022978
226,2,-10.941374500149506
227,2,-4.907542506158481
228,2,-3.0599132390484516
229,2,-3.4070218645277954
230,2,-5.172157374163177
231,2,-6.7997291851440185
232,2,-5.877703797959428
233,2,-4.135619360511353
234,2,-5.457942995040465
235,2,-4.6626488448376655
236,2,-6.7530867131824515
237,2,-2.9792578478214375
238,2,-4.706038777819863
239,2,-1.8237965747687197
240,2,-7.9352890169942505
241,2,-7.805247318221128
242,2,-1.9767213291410142
243,2,-7.99791415018782
244,2,-4.4934334965736475
245,2,-4.793883054880724
246,2,-6.1617450060037795
247,2,-4.0324433742288
248,2,-9.07490472512462
249,2,-10.233691391537635
250,2,-3.994754213783913
251,2,-4.7925047619816885
252,2,-3.2529486839054518
253,2,-4.986164833325497
254,2,-3.800897208207226
255,2,-3.7972365206094656
256,2,-7.064409134785479
257,2,-2.8905463153980713
258,2,-11.104819958956552
259,2,-6.2941235375869296
260,2,-5.246335276461613
262,2,-4.091335716275253
263,2,-4.378827646991879
264,2,-4.000906235194607
265,2,-1.9739786303115574
266,2,-11.207102562175614
267,2,-4.571046517530423
268,2,-4.374291651024332
269,2,-5.543688944527395
270,2,-5.136640712159575
271,2,-3.1228194293020484
272,2,-9.694218357247058
274,2,-5.172560124571738
275,2,-9.273834227396394
276,2,-3.3100755651083666
277,2,-3.674151790310384
278,2,-4.8137155558346665
279,2,-2.747428328927503
280,2,-3.6197753619093245
299,2,-3.731560859562233
